port,hits
30635.0,12
14038.0,10
30610.0,9
59963.0,5
50396.0,5
50398.0,7
19002.0,5
30514.0,12
9603.0,21
30504.0,9
5089.0,39
30527.0,8
38004.0,5
39946.0,9
38006.0,7
30860.0,10
50960.0,6
24932.0,5
7024.0,21
46958.0,6
57987.0,5
50551.0,4
30923.0,8
30570.0,11
30669.0,8
42512.0,3
58370.0,6
45760.0,9
45774.0,12
30992.0,8
30951.0,8
30897.0,9
14238.0,2
9005.0,62
41085.0,3
16000.0,66
44848.0,10
44862.0,7
39407.0,2
39019.0,2
39608.0,4
16017.0,5
30920.0,8
30919.0,8
30692.0,8
30983.0,8
16400.0,6
12288.0,9
30758.0,8
39490.0,8
13540.0,1
59300.0,3
59316.0,7
25064.0,12
47190.0,5
47192.0,6
9009.0,70
30750.0,8
30739.0,13
35918.0,3
44675.0,4
8571.0,8
49628.0,5
30908.0,6
59750.0,9
11606.0,21
40170.0,8
39900.0,7
30720.0,23
30642.0,8
30864.0,8
52578.0,8
50083.0,10
7915.0,37
6298.0,17
40792.0,7
39160.0,7
39150.0,8
39176.0,10
39174.0,8
41800.0,32
39696.0,5
40003.0,18
43895.0,3
32773.0,9
30630.0,10
7001.0,476
59908.0,7
5907.0,63
8576.0,12
8577.0,27
20086.0,28
49232.0,11
8574.0,10
9058.0,46
58730.0,10
57032.0,9
30932.0,8
57050.0,7
30953.0,10
57042.0,7
30823.0,8
30655.0,9
23055.0,2
46082.0,6
2922.0,7
3460.0,43
6565.0,35
39968.0,8
8001.0,630
41191.0,6
8579.0,10
48266.0,6
60224.0,9
62237.0,12
48276.0,8
39847.0,3
12442.0,20
444.0,171
40432.0,22
13167.0,4
30844.0,10
48656.0,20
39110.0,4
8586.0,35
8583.0,14
51005.0,265
9905.0,23
4848.0,88
49082.0,8
49072.0,9
7919.0,19
39761.0,2
6833.0,18
30539.0,8
30783.0,10
5675.0,22
33890.0,46
46915.0,3
47208.0,12
47594.0,5
30641.0,15
30616.0,8
30639.0,10
46482.0,4
46480.0,9
19001.0,16
3911.0,21
30977.0,7
46596.0,6
46600.0,7
39027.0,2
60954.0,8
30632.0,4
13324.0,6
15139.0,4
30509.0,9
52286.0,4
52296.0,8
15752.0,2
54058.0,4
30943.0,9
30841.0,8
30670.0,10
36020.0,5
1717.0,105
36016.0,16
30832.0,9
30558.0,6
45240.0,9
34588.0,19
12367.0,6
30875.0,8
35336.0,2
35342.0,4
58160.0,2
6710.0,14
40698.0,3
12119.0,8
8594.0,18
53360.0,7
5989.0,40
5727.0,23
30727.0,8
4839.0,198
9658.0,32
