ip,hits
104.236.41.221,2.0
104.236.70.6,1012.0
104.237.105.104,3.0
104.237.132.58,2.0
104.237.132.63,4.0
104.237.132.65,12.0
104.237.150.123,8.0
104.237.156.209,5.0
104.241.54.185,17.0
104.243.11.2,50.0
104.243.160.126,33.0
104.243.166.53,13.0
104.243.171.36,2.0
104.243.3.7,32.0
104.243.34.95,3.0
104.243.4.1,8.0
104.243.4.2,8.0
104.243.7.3,33.0
104.244.146.62,29.0
104.244.243.145,8.0
104.244.77.50,38.0
104.245.186.11,31.0
104.245.221.186,12.0
104.246.10.155,4.0
104.246.100.95,8.0
104.246.102.18,4.0
104.246.153.114,12.0
104.246.40.27,7.0
104.246.48.53,7.0
104.246.68.19,7.0
104.246.69.115,8.0
104.246.89.26,9.0
104.246.98.133,4.0
104.247.132.198,17.0
104.248.128.181,23.0
104.248.229.49,4.0
104.248.246.206,54.0
104.248.58.233,2.0
104.249.165.6,10.0
